NAME,HT,WT,CLASS,HOMETOWN,STATE,SCHOOL,GPA,CRIMES,INJURIES,SCHOOLID,MAJOR
McDerby Ceneus,68,190,JR,West Orange,NJ,Rutgers,2.68,14,10,154001632,Communication
Kobe Marfo,70,190,JR,Alexandria,VA,Rutgers,2.57,13,6,159006592,Animal Science
Aslan Pugh,73,215,FR,Wilmington,DE,Rutgers,2.12,2,11,159001257,Theater
Lawrence Stevens,68,190,FR,Lawrenceville,NJ,Rutgers,3.05,7,4,154005329,Communication
Edwin Lopez,71,175,FR,Camden,NJ,Rutgers,3.42,4,5,154004301,Communication
Rani Abdulaziz,70,176,FR,Roseland,NJ,Rutgers,3.2,5,5,155002683,Political Science
Tim Barrow,71,185,FR,Staten Island,NY,Rutgers,3.03,8,3,153001576,Exercise Science
Parker Day,68,187,FR,Toms River,NJ,Rutgers,3.23,9,4,154005870,Exercise Science
Solomon Manning,73,241,FR,Colonia,NJ,Rutgers,2.71,9,11,154007718,English 
Eric Margolis,75,240,JR,New City,NY,Rutgers,2.6,9,13,154002262,Finance
T.J. Taylor,75,221,SR,Kendall Park,NJ,Rutgers,2.77,4,12,151002684,Economics
Zane Campbell,73,194,SR,Delran,NJ,Rutgers,3.03,13,4,153002659,Creative Writing
Nyhsere Woodson,70,201,FR,Trenton,NJ,Rutgers,3.41,8,7,150009399,Sports Management
Brendan DeVera,73,242,FR,Monticello,NY,Rutgers,1.1,7,11,152005839,Economics
Max Anthony,73,240,SO,Albany,NY,Rutgers,3.57,17,8,153009192,Civil Engineering
Tyreek Maddox-Williams,73,232,SO,Erial,NJ,Rutgers,2.59,9,13,156008646,Exercise Science
Jim Brady,73,237,FR,Egg Harbor City,NJ,Rutgers,3.08,6,6,151002569,Exercise Science
Davante McDuffie,73,198,JR,Linden,NJ,Rutgers,3.86,10,6,159009126,Computer Engineering
Bill Taylor,73,221,FR,Parsippany,NJ,Rutgers,2.61,13,3,155004969,Exercise Science
Brandon Russell,73,235,JR,Pembroke Pines,FL,Rutgers,2.08,12,14,150006966,Economics
Owen Bowles,76,291,FR,Galloway,NJ,Rutgers,3.09,7,2,159007124,Labor Studies
Julius Turner,73,282,FR,Meridian,MS,Rutgers,2.41,7,3,156006597,Communication
Jamaal Beaty,74,291,FR,Cliffwood,NJ,Rutgers,4,5,1,150000348,Political Science
Sebastian Joseph,76,305,SR,Stroudsburg,PA,Rutgers,4,4,3,152004675,Communication
Brendan Bordner,76,280,FR,Columbus,OH,Rutgers,3.84,5,4,153003167,Sports Management
Kamaal Seymour,78,312,SO,Brooklyn,NY,Rutgers,4,13,2,156008776,Communication
Michael Maietti,73,292,FR,West Orange,NJ,Rutgers,3.17,13,2,150008899,Economics
Austin Rosa,70,220,SO,Reading,PA,Rutgers,2.31,15,11,157006344,Exercise Science
Rashawn Battle,73,235,FR,Greentown,PA,Rutgers,2.29,11,11,150000554,Communication
Micah Clark,76,289,FR,Cliffwood,NJ,Rutgers,2.93,9,3,150002584,History
Jaohne Duggan,73,292,FR,Bethlehem,PA,Rutgers,3.37,3,6,150003308,Labor Studies
Zach Miseo,75,285,FR,Bridgewater,NJ,Rutgers,3.51,9,0,153005406,Economics
Kemoko Turay,77,252,SR,Newark,NJ,Rutgers,1.75,8,4,158003905,Industrial Engineering
Charles Zarzecki,79,345,FR,Boonton,NJ,Rutgers,4,10,1,151004605,Electrical Engineering
Darnell Davis,74,247,SR,Union,NJ,Rutgers,1.37,7,5,156002375,Music
Dorian Miller,74,300,SR,Metuchen,NJ,Rutgers,3.33,10,1,153000270,Theater
Mike Lonsdorf,78,300,FR,Bound Brook,NJ,Rutgers,3.43,5,1,154001565,Psychology
Matthew Sportelli,73,253,FR,Wayne,NJ,Rutgers,2.65,15,0,151009523,Sports Management
Jim Onulak,74,282,FR,Belmar,NJ,Rutgers,3.43,7,1,154005228,Computer Science
Skiy Pyrame,73,270,SO,Queens,NY,Rutgers,3.57,11,1,153008745,Nutrition
Tariq Cole,78,320,JR,Long Beach,NY,Rutgers,2.92,11,2,157000190,Computer Science
Nick Krimin,77,308,FR,South Amboy,NJ,Rutgers,3.19,14,0,153006599,Communication
Marcus Applefield,77,308,JR,Weeki Wachee,FL,Rutgers,3.2,10,1,150007272,Music
Manny Taylor,77,300,SO,Philadelphia,PA,Rutgers,3.35,10,4,154000980,Sports Management
Jonah Jackson,76,299,SO,Media,PA,Rutgers,2.68,11,0,155005667,Exercise Science
Sam Howson,76,292,FR,Sparta,NJ,Rutgers,4,7,1,158009591,Nutrition
Zach Venesky,75,300,SO,Peckville,PA,Rutgers,3.22,15,0,158004577,Music
Sam Vretman,78,305,FR,--,--,Rutgers,3.47,7,0,152008901,Psychology
Zack Heeman,79,308,JR,Budd Lake,NJ,Rutgers,3.43,12,1,154007538,Theater
Nixon Provillon,74,202,SR,Irvington,NJ,Rutgers,2.41,9,5,151000431,Communication
Tyler Hayek,75,190,FR,Wayne,NJ,Rutgers,3.28,2,6,150003904,Exercise Science
Hunter Hayek,69,170,FR,Wayne,NJ,Rutgers,3.13,12,6,157003311,Exercise Science
Rashad Blunt,73,195,SO,St. Johns,FL,Rutgers,3.2,3,4,156007006,Geography
Cole Murphy,73,201,JR,Olathe,KS,Rutgers,2.76,11,6,153005481,Communication
Alan Lucy,73,218,SR,Dinwiddie,VA,Rutgers,3.4,6,3,152003624,Economics
Nakia Griffin-Stewart,77,255,SO,Tenafly,NJ,Rutgers,2.17,12,8,153008511,Exercise Science
Prince Taylor,70,195,FR,Hackensack,NJ,Rutgers,3.66,14,4,152005745,Labor Studies
Jerome Washington,76,258,JR,Elizabeth,NJ,Rutgers,3.34,9,4,156008079,Creative Writing
Travis Vokolek,78,235,FR,Springfield,MO,Rutgers,2.18,10,7,157001552,Animal Science
Tijaun Mason,77,225,FR,Memphis,TN,Rutgers,2.63,11,7,159005020,Exercise Science
Eric Wiafe,77,290,JR,Egg Harbor Township,NJ,Rutgers,2.96,15,5,155005628,Communication
Jason Griggs,73,282,FR,Highland Park,NJ,Rutgers,2.26,12,8,151007970,Finance
Michael Cintron,75,222,JR,Piscataway,NJ,Rutgers,3.86,8,0,157001498,Geography
Jon Bateky,75,300,JR,Boyds,MD,Rutgers,2.47,10,5,159007602,Finance
Justin Davidovicz,69,177,FR,Bridgewater,NJ,Rutgers,3.46,13,0,153002879,Mechanical Engineering
Ryan Anderson,73,203,SR,Dewitt,MI,Rutgers,3.86,6,0,157009099,Civil Engineering
Willington Previlon,77,290,SO,Orange,NJ,Rutgers,2.36,16,7,155009563,Labor Studies
Andrew Harte,73,190,SR,Downers Grove,IL,Rutgers,2.61,11,0,157009513,Economics
Mike Tverdov,76,252,FR,Union,NJ,Rutgers,3.94,8,6,153001091,Sports Management
David Bonagura,73,230,SR,Franklin Lakes,NJ,Rutgers,3.42,15,0,155004325,Exercise Science
Jimmy Hogan,76,265,JR,Wyckoff,NJ,Rutgers,2.73,16,8,155000848,Exercise Science
Gavin Haggerty,68,180,SO,Montvale,NJ,Rutgers,3.8,15,0,151005386,Chemical Engineering
Kevin Wilkins,74,306,JR,Mahwah,NJ,Rutgers,3.76,19,3,154006448,History
Jermaine Carter Jr.,73,228,SR,Fort Washington,MD,Maryland,2.27,0,13,309533553,Exercise Science
D.J. Moore,71,215,JR,Philadelphia,PA,Maryland,3.94,0,5,784159978,Computer Engineering
Lorenzo Harrison III,68,195,SO,Hillcrest Hgts,MD,Maryland,3.09,0,9,651978091,Nutrition
Denzel Conyers,75,215,SR,--,--,Maryland,1.64,0,7,611951942,Exercise Science
Adam Greene,71,193,SR,Arnold,MD,Maryland,3.52,0,0,415114184,Chemical Engineering
Tyrrell Pigrome,71,196,SO,Pinson,AL,Maryland,2.84,0,2,289576501,Labor Studies
Darnell Savage Jr.,70,191,JR,Newark,DE,Maryland,3.31,0,2,572186371,Animal Science
Anthony McFarland,68,208,FR,Hyattsville,MD,Maryland,2.56,0,11,409855339,Geography
Cavon Walker,74,278,SR,Washington,DC,Maryland,3.26,0,4,422764506,Criminal Justice
Jesse Aniebonam,75,259,SR,Silver Spring,MD,Maryland,2.72,0,6,387469513,Theater
Ty Johnson,70,208,JR,Cumberland,MD,Maryland,3.64,0,6,612849025,ITI
JC Jackson,73,193,JR,Immokalee,FL,Maryland,2.42,0,6,171909716,Electrical Engineering
Caleb Henderson,75,225,JR,Burke,VA,Maryland,3.26,0,5,507081953,Exercise Science
Kingsley Opara,75,300,SR,Jacksonville,FL,Maryland,3.07,0,5,413942662,Communication
Jahrvis Davenport,69,194,JR,Tampa,FL,Maryland,3.19,0,7,701433627,Labor Studies
DJ Turner,69,200,SO,Glenarden,MD,Maryland,2.56,0,5,134069216,Political Science
Josh Woods,73,204,SR,Baltimore,MD,Maryland,2.88,0,4,53331731,Exercise Science
Fofie Bazzie,71,190,FR,Silver Spring,MD,Maryland,3.66,0,3,85861240,Sports Management
Kasim Hill,74,232,FR,Washington,DC,Maryland,3.45,0,6,667886304,Computer Science
Elijah Daniels,73,193,SO,Davie,FL,Maryland,4,0,5,481546060,Economics
Taivon Jacobs,71,170,SR,Camp Springs,MD,Maryland,3.02,0,6,928981680,Communication
Markquese Bell,74,208,FR,Bridgeton,NJ,Maryland,3.8,0,3,771627710,Geography
Tahj Capehart,70,184,FR,Virginia Beach,VA,Maryland,2.8,0,7,942169853,Communication
Deon Jones,73,195,FR,Oxon Hill,MD,Maryland,4,0,1,776802973,Business
J.T. Ventura,73,215,SR,Hollidaysburg,PA,Maryland,2.47,0,4,906781470,ITI
Legend Brumbaugh,75,215,FR,Auburn,AL,Maryland,3.36,0,2,342797342,Economics
Melvin Keihn,73,228,JR,Towson,MD,Maryland,3.02,0,9,167080908,Public Policy
Ryan Brand,71,182,SO,Detroit,MI,Maryland,3.92,0,1,110078837,ITI
Ayinde Eley,75,226,FR,Silver Spring,MD,Maryland,2.35,0,9,219393509,Nutrition
Tino Ellis,73,193,SO,Reisterstown,MD,Maryland,2.78,0,9,339274320,Sports Management
Max Bortenschlager,75,211,SO,Fishers,IN,Maryland,2.54,0,4,289603665,Labor Studies
Shane Cockerille,74,235,SR,Baltimore,MD,Maryland,3.09,0,12,349528937,Animal Science
MJ Jarrell,73,183,FR,Orlando,FL,Maryland,2.42,0,8,728429526,Chemical Engineering
Marcus Lewis,73,190,JR,--,--,Maryland,1.54,0,6,552721927,Sociology
Javon Leake,73,200,FR,Greensboro,NC,Maryland,2.57,0,10,844567129,Electrical Engineering
Antwaine Richardson,73,182,SO,Delray Beach,FL,Maryland,2.4,0,8,536866987,Communication
RaVon Davis,70,177,JR,Fort Washington,MD,Maryland,3.58,0,2,851088752,Finance
Isaiah Davis,73,238,SO,Temple Hills,MD,Maryland,1.85,0,12,870814296,Public Policy
Alex Woods,74,190,JR,Durham,NC,Maryland,3.39,0,4,36982482,Civil Engineering
Qwuantrezz Knight,73,197,SO,Quincy,FL,Maryland,2.64,0,5,33307568,English 
Antoine Brooks Jr.,71,210,SO,Lanham,MD,Maryland,3.15,0,5,876671992,Labor Studies
Kenny Bennett,74,201,FR,Philadelphia,PA,Maryland,4,0,1,339371488,Civil Engineering
Bryce Brand,75,241,FR,Detroit,MI,Maryland,2.99,0,1,929439047,Computer Engineering
Elisha Daniels,73,181,SO,Davie,FL,Maryland,3.31,0,6,289444051,Exercise Science
Allen Corbin,69,190,SR,Westminster,MD,Maryland,3.29,0,4,102675819,Exercise Science
Nnamdi Egbuaba,73,227,JR,Baltimore,MD,Maryland,1.38,0,9,193505248,Theater
Bruce Miller,73,244,JR,Chester,PA,Maryland,2.73,0,14,980278356,Labor Studies
Tayon Fleet-Davis,71,231,FR,Oxon Hill,MD,Maryland,2.87,0,11,919981998,Exercise Science
Jake Funk,71,202,SO,Gaithersburg,MD,Maryland,2.33,0,10,518795818,Nutrition
Marcus Smith,69,203,SR,West Friendship,MD,Maryland,3.36,0,5,328957003,Computer Engineering
Matt Oliveira,73,215,JR,Watchung,NJ,Maryland,2.98,0,2,376854848,Exercise Science
Josh Bekoe,71,201,SR,Alexandria,VA,Maryland,2.97,0,4,726096297,Exercise Science
Chris Jones,74,177,SR,Baltimore,MD,Maryland,2.86,0,7,493558324,Labor Studies
Paul Inzerillo,68,175,FR,Staten Island,NY,Maryland,3.04,0,0,200702278,Exercise Science
Steve Baca,74,220,SO,Mount Airy,MD,Maryland,2.92,0,11,51517311,Geography
Ikechukwu Ogwuegbu,69,195,SO,Hyattsville,MD,Maryland,1.83,0,10,254358764,Communication
Mike Shinsky,69,178,SO,Towson,MD,Maryland,3.82,0,0,934878272,Economics
Nick Underwood,73,225,SO,Lake Oswego,OR,Maryland,2.62,0,13,195821112,Communication
Jalen Brooks,73,236,SR,Suwanee,GA,Maryland,1.56,0,14,148921866,History
Andrew Isaacs,74,254,SR,Manchester,CT,Maryland,3.88,0,3,501238101,Public Policy
Dimitri Lee,69,191,SR,Bowie,MD,Maryland,4,0,4,775611016,Chemical Engineering
Zack Roski,79,213,FR,Laurel,MD,Maryland,2.83,0,4,707374773,Exercise Science
Robert Schwob,78,211,FR,Annapolis,MD,Maryland,1.85,0,7,45853686,Economics
Kevin Woodeshick,74,225,JR,Berwick,PA,Maryland,3.14,0,5,512213025,Economics
Derrick Hayward,77,240,SR,Salisbury,MD,Maryland,2.45,0,5,933712898,Animal Science
Antonio DiCerbo,73,234,FR,Pasadena,MD,Maryland,2.35,0,5,82475497,Business
Mbi Tanyi,73,296,JR,Houston,TX,Maryland,3.31,0,2,353417668,Labor Studies
Oluwaseun Oluwatimi,73,298,SO,Upper Marlboro,MD,Maryland,2.45,0,5,310802136,Geography
Brett Shepherd,76,230,SO,Buford,GA,Maryland,1.25,0,12,760532601,Economics
Brock Sassler,70,208,FR,Parkton,MD,Maryland,2.42,0,5,530027940,Exercise Science
Dion Goldbourne,76,218,FR,Delray Beach,FL,Maryland,3.02,0,5,953284228,Sports Management
Derwin Gray,77,330,JR,Washington,DC,Maryland,3.02,0,1,333252963,Mechanical Engineering
Nate Adams,73,210,SR,Phoenix,AZ,Maryland,3.38,0,1,678358917,Industrial Engineering
Matt Gillespie,73,235,SR,Towson,MD,Maryland,3.63,0,11,632485780,Criminology
Cam Spence,75,315,FR,Washington,DC,Maryland,3.6,0,3,984389837,Sports Management
Richard Merritt,77,360,FR,Silver Spring,MD,Maryland,3.83,0,3,157746208,Theater
Damian Prince,75,315,JR,Washington,DC,Maryland,3.91,0,0,253460702,Sports Management
Keiron Howard,75,293,SO,Fort Washington,MD,Maryland,3.06,0,6,418278290,Public Policy
Tyler Hamilton,73,298,FR,Bowie,MD,Maryland,3.61,0,2,705277947,Exercise Science
Brendan Moore,75,302,JR,Austin,TX,Maryland,3.15,0,2,665746715,Labor Studies
Andrew Ladd,75,252,FR,Shady Side,MD,Maryland,3.53,0,0,399164667,Sports Management
Tyran Hunt,79,300,FR,Boykins,VA,Maryland,3.12,0,2,719202145,Sports Management
Ellis McKennie,75,305,SO,Mcsherrystown,PA,Maryland,2.98,0,1,201205841,Exercise Science
Sean Christie,76,305,JR,Medford,NY,Maryland,3.33,0,1,410968817,Exercise Science
Marcus Minor,76,294,FR,Lanham,MD,Maryland,3.66,0,0,980413932,Mechanical Engineering
Johnny Jordan,73,307,FR,Leesburg,VA,Maryland,3.46,0,3,351093303,Psychology
Brian Plummer,78,310,FR,New Windsor,MD,Maryland,3.02,0,2,117166883,Exercise Science
Terrance Davis,75,308,SO,Temple Hills,MD,Maryland,3.47,0,3,91358192,Economics
Jack Wagman,77,285,FR,Potomac,MD,Maryland,3.35,0,1,302732488,Economics
Will McClain,77,303,SO,Middletown,MD,Maryland,3.96,0,3,160080534,Business
Mason Hagey,76,295,FR,Anaheim,CA,Maryland,3.16,0,0,616244673,Biology
Jordan McNair,76,325,FR,Randallstown,MD,Maryland,3.15,0,1,422282474,Communication
Noah Barnes,76,225,FR,Auburn,AL,Maryland,3.61,0,8,80915236,Creative Writing
Rayshad Lewis,70,165,SO,Orlando,FL,Maryland,2.73,0,7,319833003,Labor Studies
Avery Edwards,76,240,JR,Raleigh,NC,Maryland,3.52,0,4,778993715,Business
Carlos Carriere,76,180,FR,Alpharetta,GA,Maryland,1.89,0,8,470145186,Exercise Science
Jacquille Veii,69,188,SR,Gaithersburg,MD,Maryland,2.84,0,9,465235274,Dance
Sean Nelson,73,181,FR,Fairburn,GA,Maryland,2.62,0,5,267429673,Sports Management
Jayden Comma,74,208,FR,Roswell,GA,Maryland,1.8,0,8,179741891,Music
Michael Cornwell,75,225,JR,Columbia,MD,Maryland,2.41,0,9,350874360,Geography
Wade Lees,74,208,SO,--,--,Maryland,3.35,0,0,106311679,ITI
Andrew Park,76,260,FR,Fairfax Station,VA,Maryland,3.32,0,10,919805271,Chemical Engineering
B'Ahmad Miller,74,276,FR,Newark,DE,Maryland,3.79,0,5,535189963,Gender Studies
Adam McLean,74,305,SO,Gaithersburg,MD,Maryland,2.49,0,8,501573875,Exercise Science
Chandler Burkett,75,254,SR,Panama City,FL,Maryland,2.64,0,3,1036592,Communication
Oseh Saine,74,295,SO,Worcester,MA,Maryland,3.84,0,2,177108946,Communication
Henry Darmstadter,67,183,SR,Alexandria,VA,Maryland,3.45,0,0,540857825,Theater
Lawtez Rogers,76,274,FR,Landover,MD,Maryland,2.17,0,7,463487635,Nutrition
Brett Kulka,76,260,JR,Edinboro,PA,Maryland,2.64,0,4,623845921,Exercise Science
Celso Rivera,73,350,JR,Woodbridge,VA,Maryland,2.91,0,5,885125510,Sports Management
Danny Sutton,73,185,SR,New Hope,PA,Maryland,3.44,0,0,985204990,Sociology
Brandon Gaddy,74,311,FR,Virginia Beach,VA,Maryland,2.7,0,3,176299273,Dance
Breyon Gaddy,74,360,FR,Virginia Beach,VA,Maryland,3.39,0,7,454971800,Sociology
Juwan Burgess,73,185,FR,Tampa,FL,Indiana,2.83,0,8,96427539,Communication
Simmie Cobbs Jr.,76,220,JR,Oak Park,IL,Indiana,2.56,0,8,69384245,Civil Engineering
Devonte Williams,70,190,SO,Columbia,MD,Indiana,2.91,0,8,412826767,Psychology
Tyler Green,75,190,JR,Waldorf,MD,Indiana,3.41,0,4,372831694,Sports Management
Peyton Ramsey,74,210,FR,Cincinnati,OH,Indiana,3.15,0,4,421062757,Communication
Chris Covington,74,230,SR,Chicago,IL,Indiana,3.19,0,11,496045862,Gender Studies
J-Shun Harris II,68,170,JR,Fishers,IN,Indiana,2.93,0,7,275542304,Labor Studies
Zeke Walker,74,215,JR,Columbia,SC,Indiana,3.26,0,4,694480190,Industrial Engineering
Taysir Mack,74,200,FR,Brooklyn,NY,Indiana,2.85,0,6,298105364,Exercise Science
Tegray Scales,73,230,SR,Cincinnati,OH,Indiana,2.97,0,10,209392470,Finance
Jonathan Crawford,74,203,JR,Largo,FL,Indiana,3.65,0,5,784752638,Computer Science
Mike Fiacable,73,205,SO,Fort Wayne,IN,Indiana,3.65,1,3,772566303,Criminology
Donavan Hale,76,225,JR,Largo,FL,Indiana,2.64,0,5,266938405,Finance
Jayme Thompson,74,195,SR,Toledo,OH,Indiana,2.79,0,5,22252661,Gender Studies
Nick Tronti,74,205,FR,Ponte Vedra Beach,FL,Indiana,2.35,0,2,565514715,Sports Management
Isaac James,71,195,SO,Carmel,IN,Indiana,1.49,0,7,528829700,Communication
Andre Brown Jr.,73,195,SO,Decatur,GA,Indiana,3.4,1,2,327205244,Criminology
Nick Westbrook,75,215,JR,Lake Mary,FL,Indiana,2.83,0,6,849891068,Industrial Engineering
Rashard Fant,70,180,SR,Atlanta,GA,Indiana,3.27,0,5,729823210,Exercise Science
David Felton,74,220,FR,Evansville,IN,Indiana,1.37,0,9,522791981,Labor Studies
Justin Berry,73,195,FR,Charleston,SC,Indiana,2.8,0,8,533572294,Exercise Science
Raheem Layne,73,190,FR,Deland,FL,Indiana,2.64,1,5,379308771,Sports Management
Ben Bach,73,195,SR,Wheaton,IL,Indiana,3.04,0,2,685349486,Exercise Science
Tony Fields,71,205,SR,Tallahassee,FL,Indiana,3.08,0,7,738557321,Criminal Justice
Jameel Cook Jr.,73,200,SO,Missouri City,TX,Indiana,3.1,0,5,544857223,Computer Science
Cole Gest,68,195,FR,Lyndhurst,OH,Indiana,3.46,1,8,993875600,Labor Studies
LaDamion Hunt,73,185,FR,Carrollton,GA,Indiana,3.62,2,7,224204172,Sports Management
Richard Lagow,78,240,SR,Plano,TX,Indiana,3.68,0,4,990994176,Communication
Whop Philyor,71,180,FR,Tampa,FL,Indiana,2.02,0,9,481818338,Theater
Alex Rodriguez,70,223,JR,Indianapolis,IN,Indiana,2.03,0,6,60089313,Sociology
Mike Majette,71,210,JR,Woodbridge,VA,Indiana,2.9,0,8,699648569,Economics
Luke Timian,73,195,JR,Southlake,TX,Indiana,3.28,0,6,814583117,Sports Management
Kiante Walton,74,225,JR,Columbus,GA,Indiana,2.6,0,13,780878577,Sports Management
Morgan Ellison,73,225,FR,Pickerington,OH,Indiana,3.27,0,9,257833076,ITI
A'Shon Riggins,73,183,SO,Hamilton,OH,Indiana,2.62,0,2,396214979,Sociology
Khalil Bryant,70,200,SO,Jacksonville,FL,Indiana,3.55,0,5,249010242,Industrial Engineering
Craig Nelson,70,175,FR,Miami,FL,Indiana,2.71,0,7,962714389,Industrial Engineering
Chase Dutra,73,212,SR,Brownsburg,IN,Indiana,3.36,1,4,683462702,Sports Management
Bryant Fitzgerald,73,205,FR,Indianapolis,IN,Indiana,3.77,0,4,584726839,Nutrition
Tyler Natee,73,260,SO,Euless,TX,Indiana,2.71,0,10,255019533,Economics
Ricky Brookins,68,190,JR,Terre Haute,IN,Indiana,2.94,0,11,976277853,Criminology
Thomas Henderson,69,175,SO,Bloomington,IN,Indiana,1.87,0,5,923228692,Communication
Nile Sykes,74,250,JR,Oak Park,IL,Indiana,2.14,0,6,939421612,Dance
Johnny Albomonte,71,183,SO,Schererville,IN,Indiana,2.9,0,4,540533072,Sports Management
Drew Conrad,74,195,FR,Greenwood,IN,Indiana,3.1,1,0,97142291,Communication
Connor Thomas,68,183,FR,Clarksville,TN,Indiana,3.65,0,4,288247605,Labor Studies
Kenny Arnold,71,232,JR,Canton,MI,Indiana,2.43,0,13,929506599,Chemical Engineering
Chris Gajcak,74,190,SO,Lisle,IL,Indiana,3.39,0,7,232163980,Exercise Science
Reakwon Jones,74,230,SO,Lynn Haven,FL,Indiana,2.65,1,12,36924221,Sports Management
Mo Burnam,74,235,FR,Conyers,GA,Indiana,2.32,0,10,920210591,Sports Management
Marcelino Ball,73,210,SO,Roswell,GA,Indiana,3.41,0,4,663729671,Animal Science
Dameon Willis Jr.,73,230,JR,Cleveland,OH,Indiana,2.29,0,11,846803969,Sports Management
Thomas Allen,75,230,FR,Tampa,FL,Indiana,2.3,0,13,935734646,Communication
Tom Bolstad,73,230,FR,University City,MO,Indiana,2.15,2,12,870224487,Music
Robert McCray III,74,270,SR,Rockdale County,GA,Indiana,2.37,0,6,869110228,Public Policy
Greg Gooch,74,250,SR,Longwood,FL,Indiana,3.05,0,3,943414323,Labor Studies
Joshua Brown,73,260,SO,Hillsborough,NJ,Indiana,3.25,0,3,950793594,Biology
Mike Barwick Jr.,73,295,JR,Cincinnati,OH,Indiana,2.87,0,3,914270394,Music
Mackenzie Nworah,76,305,FR,Houston,TX,Indiana,2.72,0,0,281632671,Business
DaVondre Love,79,310,SO,--,--,Indiana,3.32,1,2,666314329,Business
Andrew Stamm,74,225,FR,Connersville,IN,Indiana,2.49,0,11,923353138,Labor Studies
